,Model,Validation Score(Before tuning),Accuracy(Before tuning),Validation Score(After tuning),Accuracy(After tuning)
0,Linear Regression,0.058461182269852544,77.317,0.05846118226985253,77.317
1,Random Forest,0.037815375137285036,89.968,0.037368093251942285,90.184
2,K Nearest Neighbours,0.03823251764652535,89.49,0.03756992213538703,89.92
3,XGBoost,0.04095935448169442,87.925,0.03553172096309003,91.264
4,Light GBM,0.036177417400881436,90.781,0.03613911435416256,90.809
5,CatBoost,0.03534135196770207,91.283,0.0352913178210058,91.335
