iter	Passed	Remaining
412	3357	4771
413	3365	4763
414	3373	4755
415	3381	4746
416	3388	4737
417	3395	4727
418	3402	4718
419	3410	4709
420	3417	4700
421	3425	4691
422	3432	4682
423	3439	4673
424	3448	4665
425	3456	4656
426	3464	4648
427	3471	4639
428	3481	4634
429	3489	4625
430	3500	4620
431	3508	4613
432	3516	4604
433	3524	4597
434	3533	4589
435	3543	4584
436	3551	4575
437	3560	4568
438	3568	4559
439	3576	4552
440	3584	4543
441	3593	4536
442	3600	4527
443	3609	4519
444	3616	4510
445	3624	4502
446	3632	4493
447	3639	4484
448	3646	4475
449	3655	4467
450	3662	4458
451	3671	4450
452	3678	4441
453	3685	4432
454	3693	4423
455	3701	4415
456	3709	4407
457	3716	4398
458	3725	4390
459	3732	4382
460	3741	4374
461	3749	4365
462	3757	4358
463	3765	4349
464	3774	4342
465	3781	4333
466	3790	4326
467	3797	4316
468	3806	4309
469	3813	4300
470	3821	4292
471	3829	4284
472	3840	4278
473	3847	4269
474	3856	4262
475	3863	4253
476	3871	4245
477	3879	4236
478	3887	4227
479	3894	4218
480	3902	4210
481	3910	4202
482	3917	4193
483	3924	4184
484	3932	4175
485	3938	4165
486	3946	4157
487	3954	4149
488	3962	4140
489	3970	4132
490	3978	4124
491	3985	4114
492	3992	4105
493	3999	4096
494	4006	4087
495	4013	4078
496	4021	4069
497	4028	4060
498	4035	4051
499	4042	4042
500	4050	4033
501	4056	4024
502	4064	4015
503	4071	4007
504	4079	3998
505	4085	3989
506	4092	3979
507	4099	3970
508	4106	3960
509	4113	3952
510	4121	3944
511	4128	3935
512	4136	3926
513	4143	3917
514	4150	3909
515	4158	3900
516	4165	3891
517	4173	3883
518	4181	3875
519	4188	3866
520	4196	3858
521	4203	3849
522	4212	3841
523	4219	3833
524	4228	3825
525	4235	3816
526	4244	3809
527	4251	3801
528	4261	3794
529	4269	3786
530	4277	3778
531	4285	3769
532	4293	3761
533	4300	3752
534	4308	3745
535	4316	3736
536	4324	3728
537	4332	3720
538	4340	3712
539	4347	3703
540	4354	3694
541	4361	3685
542	4369	3677
543	4376	3668
544	4384	3660
545	4392	3652
546	4399	3643
547	4407	3635
548	4415	3627
549	4423	3618
550	4430	3610
551	4438	3602
552	4445	3593
553	4453	3584
554	4461	3576
555	4469	3568
556	4476	3560
557	4484	3551
558	4491	3543
559	4498	3534
560	4506	3526
561	4513	3517
562	4520	3509
563	4527	3500
564	4535	3492
565	4543	3483
566	4550	3475
567	4557	3466
568	4564	3457
569	4571	3448
570	4579	3440
571	4586	3431
572	4593	3423
573	4601	3414
574	4608	3406
575	4615	3397
576	4622	3388
577	4630	3380
578	4637	3372
579	4645	3363
580	4652	3355
581	4659	3346
582	4666	3337
583	4674	3329
584	4681	3320
585	4687	3311
586	4695	3303
587	4702	3294
588	4710	3286
589	4717	3277
590	4724	3269
591	4730	3260
592	4737	3251
593	4744	3243
594	4752	3235
595	4760	3226
596	4767	3218
597	4775	3210
598	4782	3201
599	4789	3193
600	4797	3184
601	4804	3176
602	4811	3167
603	4818	3159
604	4825	3150
605	4832	3142
606	4839	3133
607	4846	3124
608	4854	3116
609	4861	3107
610	4868	3099
611	4875	3090
612	4882	3082
613	4889	3074
614	4896	3065
615	4904	3057
616	4911	3048
617	4918	3040
618	4925	3031
619	4932	3022
620	4939	3014
621	4945	3005
622	4953	2997
623	4959	2988
624	4967	2980
625	4973	2971
626	4980	2962
627	4988	2954
628	4994	2946
629	5002	2937
630	5011	2930
631	5022	2924
632	5036	2920
633	5046	2913
634	5057	2907
635	5064	2898
636	5071	2890
637	5078	2881
638	5086	2873
